case_id,task_family,predicted_mastery_probability,true_mastery_probability,observed_mastery
calibration_case_1602,Conceptual explanation,0.3019,0.2923,0
calibration_case_1603,Multi-step modeling,0.6863,0.5739,1
calibration_case_1604,Procedural fluency,0.8998,0.8512,1
calibration_case_1605,Procedural fluency,0.9124,0.8663,1
calibration_case_1606,Conceptual explanation,0.6322,0.5684,1
calibration_case_1607,Multi-step modeling,0.3652,0.3048,0
calibration_case_1608,Multi-step modeling,0.1523,0.1416,0
calibration_case_1609,Conceptual explanation,0.5869,0.5287,1
calibration_case_1610,Multi-step modeling,0.0588,0.0636,0
calibration_case_1611,Conceptual explanation,0.6926,0.623,1
calibration_case_1612,Conceptual explanation,0.4582,0.4205,1
calibration_case_1613,Conceptual explanation,0.4215,0.3903,1
calibration_case_1614,Procedural fluency,0.1684,0.1913,1
calibration_case_1615,Conceptual explanation,0.393,0.367,0
calibration_case_1616,Procedural fluency,0.8374,0.7819,1
calibration_case_1617,Conceptual explanation,0.4858,0.4433,0
calibration_case_1618,Multi-step modeling,0.2882,0.2461,1
calibration_case_1619,Multi-step modeling,0.0399,0.046,0
calibration_case_1620,Multi-step modeling,0.6418,0.5325,0
calibration_case_1621,Procedural fluency,0.8075,0.7511,1
calibration_case_1622,Conceptual explanation,0.661,0.5941,1
calibration_case_1623,Multi-step modeling,0.2403,0.2096,0
calibration_case_1624,Conceptual explanation,0.4008,0.3734,0
calibration_case_1625,Conceptual explanation,0.9095,0.853,1
calibration_case_1626,Conceptual explanation,0.6753,0.6071,0
calibration_case_1627,Conceptual explanation,0.2695,0.2655,0
calibration_case_1628,Procedural fluency,0.1872,0.2086,1
calibration_case_1629,Conceptual explanation,0.1483,0.1613,0
calibration_case_1630,Procedural fluency,0.7985,0.742,1
calibration_case_1631,Procedural fluency,0.6172,0.5748,1
calibration_case_1632,Procedural fluency,0.8093,0.7529,1
calibration_case_1633,Procedural fluency,0.2869,0.2963,0
calibration_case_1634,Conceptual explanation,0.2286,0.2312,0
calibration_case_1635,Procedural fluency,0.7813,0.725,0
calibration_case_1636,Procedural fluency,0.7666,0.7107,0
calibration_case_1637,Multi-step modeling,0.5793,0.4772,1
calibration_case_1638,Procedural fluency,0.2541,0.268,0
calibration_case_1639,Procedural fluency,0.7139,0.6611,1
calibration_case_1640,Procedural fluency,0.6798,0.63,1
calibration_case_1641,Multi-step modeling,0.553,0.4548,0
calibration_case_1642,Multi-step modeling,0.3447,0.2892,0
calibration_case_1643,Procedural fluency,0.9528,0.9186,1
calibration_case_1644,Procedural fluency,0.6265,0.5828,0
calibration_case_1645,Conceptual explanation,0.2241,0.2273,0
calibration_case_1646,Procedural fluency,0.7831,0.7268,1
calibration_case_1647,Multi-step modeling,0.0748,0.0778,0
calibration_case_1648,Multi-step modeling,0.1446,0.1355,0
calibration_case_1649,Procedural fluency,0.6619,0.614,1
calibration_case_1650,Conceptual explanation,0.1437,0.1572,0
calibration_case_1651,Procedural fluency,0.5906,0.5518,0
calibration_case_1652,Procedural fluency,0.2487,0.2633,0
calibration_case_1653,Procedural fluency,0.7336,0.6794,0
calibration_case_1654,Multi-step modeling,0.7522,0.6394,0
calibration_case_1655,Procedural fluency,0.4971,0.4726,0
calibration_case_1656,Procedural fluency,0.2832,0.2932,1
calibration_case_1657,Procedural fluency,0.5134,0.4863,1
calibration_case_1658,Multi-step modeling,0.3484,0.2919,0
calibration_case_1659,Procedural fluency,0.8983,0.8494,1
calibration_case_1660,Procedural fluency,0.5399,0.5086,0
calibration_case_1661,Procedural fluency,0.6939,0.6428,0
calibration_case_1662,Multi-step modeling,0.0743,0.0774,0
calibration_case_1663,Multi-step modeling,0.2925,0.2494,0
calibration_case_1664,Conceptual explanation,0.5366,0.4858,1
calibration_case_1665,Conceptual explanation,0.6641,0.5969,1
calibration_case_1666,Multi-step modeling,0.0582,0.0631,0
calibration_case_1667,Multi-step modeling,0.816,0.7091,1
calibration_case_1668,Conceptual explanation,0.3589,0.3391,0
calibration_case_1669,Conceptual explanation,0.7444,0.6722,1
calibration_case_1670,Procedural fluency,0.416,0.4049,1
calibration_case_1671,Multi-step modeling,0.264,0.2277,0
calibration_case_1672,Procedural fluency,0.6152,0.573,1
calibration_case_1673,Conceptual explanation,0.208,0.2136,0
calibration_case_1674,Procedural fluency,0.5742,0.5377,0
calibration_case_1675,Procedural fluency,0.6267,0.5831,0
calibration_case_1676,Procedural fluency,0.5436,0.5117,1
calibration_case_1677,Procedural fluency,0.6967,0.6453,0
calibration_case_1678,Conceptual explanation,0.3937,0.3676,0
calibration_case_1679,Procedural fluency,0.5511,0.5181,1
calibration_case_1680,Procedural fluency,0.5811,0.5436,1
calibration_case_1681,Procedural fluency,0.7632,0.7074,1
calibration_case_1682,Multi-step modeling,0.2158,0.1909,0
calibration_case_1683,Procedural fluency,0.8428,0.7876,1
calibration_case_1684,Multi-step modeling,0.3061,0.2597,0
calibration_case_1685,Conceptual explanation,0.7517,0.6793,1
calibration_case_1686,Procedural fluency,0.3715,0.3678,0
calibration_case_1687,Procedural fluency,0.3283,0.3315,0
calibration_case_1688,Procedural fluency,0.4905,0.467,1
calibration_case_1689,Conceptual explanation,0.2941,0.2859,0
calibration_case_1690,Multi-step modeling,0.6958,0.5829,0
calibration_case_1691,Multi-step modeling,0.6489,0.5389,1
calibration_case_1692,Procedural fluency,0.5752,0.5386,1
calibration_case_1693,Procedural fluency,0.5794,0.5422,0
calibration_case_1694,Procedural fluency,0.7213,0.6679,0
calibration_case_1695,Conceptual explanation,0.1415,0.1552,0
calibration_case_1696,Procedural fluency,0.346,0.3464,0
calibration_case_1697,Multi-step modeling,0.4797,0.3946,0
calibration_case_1698,Conceptual explanation,0.6376,0.5731,0
calibration_case_1699,Procedural fluency,0.452,0.4349,1
calibration_case_1700,Multi-step modeling,0.3797,0.316,0
calibration_case_1701,Procedural fluency,0.6379,0.5928,1
calibration_case_1702,Procedural fluency,0.55,0.5171,1
calibration_case_1703,Procedural fluency,0.3751,0.3708,0
calibration_case_1704,Conceptual explanation,0.333,0.3179,0
calibration_case_1705,Procedural fluency,0.7077,0.6554,1
calibration_case_1706,Multi-step modeling,0.447,0.3685,0
calibration_case_1707,Conceptual explanation,0.282,0.2759,0
calibration_case_1708,Procedural fluency,0.4285,0.4154,0
calibration_case_1709,Multi-step modeling,0.7697,0.6578,1
calibration_case_1710,Procedural fluency,0.8517,0.7971,0
calibration_case_1711,Conceptual explanation,0.2333,0.2352,0
calibration_case_1712,Multi-step modeling,0.1667,0.1529,0
calibration_case_1713,Multi-step modeling,0.3814,0.3173,0
calibration_case_1714,Procedural fluency,0.4923,0.4685,0
calibration_case_1715,Procedural fluency,0.7615,0.7058,1
calibration_case_1716,Multi-step modeling,0.2336,0.2046,1
calibration_case_1717,Procedural fluency,0.708,0.6556,0
calibration_case_1718,Procedural fluency,0.8964,0.8471,1
calibration_case_1719,Multi-step modeling,0.4118,0.3409,1
calibration_case_1720,Conceptual explanation,0.5735,0.5172,0
calibration_case_1721,Conceptual explanation,0.5377,0.4867,0
calibration_case_1722,Conceptual explanation,0.5016,0.4564,1
calibration_case_1723,Procedural fluency,0.5784,0.5413,0
calibration_case_1724,Procedural fluency,0.4612,0.4426,1
calibration_case_1725,Multi-step modeling,0.405,0.3356,1
calibration_case_1726,Procedural fluency,0.3614,0.3594,0
calibration_case_1727,Procedural fluency,0.5601,0.5257,0
calibration_case_1728,Multi-step modeling,0.6555,0.545,1
calibration_case_1729,Conceptual explanation,0.4844,0.4422,1
calibration_case_1730,Procedural fluency,0.3311,0.3339,0
calibration_case_1731,Multi-step modeling,0.3541,0.2963,0
calibration_case_1732,Procedural fluency,0.4654,0.4461,0
calibration_case_1733,Procedural fluency,0.8174,0.7611,1
calibration_case_1734,Conceptual explanation,0.8436,0.7748,1
calibration_case_1735,Conceptual explanation,0.5197,0.4716,1
calibration_case_1736,Multi-step modeling,0.0841,0.0858,0
calibration_case_1737,Multi-step modeling,0.5788,0.4768,1
calibration_case_1738,Multi-step modeling,0.2275,0.1999,0
calibration_case_1739,Conceptual explanation,0.4116,0.3822,0
calibration_case_1740,Procedural fluency,0.5428,0.511,0
calibration_case_1741,Procedural fluency,0.4348,0.4206,0
calibration_case_1742,Procedural fluency,0.7946,0.7382,1
calibration_case_1743,Procedural fluency,0.4951,0.4709,0
calibration_case_1744,Conceptual explanation,0.305,0.2949,0
calibration_case_1745,Procedural fluency,0.4509,0.434,0
calibration_case_1746,Conceptual explanation,0.8734,0.8088,1
calibration_case_1747,Procedural fluency,0.1375,0.1621,0
calibration_case_1748,Multi-step modeling,0.3038,0.258,0
calibration_case_1749,Procedural fluency,0.7101,0.6576,1
calibration_case_1750,Procedural fluency,0.2185,0.2368,1
calibration_case_1751,Procedural fluency,0.6023,0.5619,0
calibration_case_1752,Procedural fluency,0.5306,0.5007,0
calibration_case_1753,Multi-step modeling,0.512,0.4208,0
calibration_case_1754,Conceptual explanation,0.2177,0.2219,0
calibration_case_1755,Procedural fluency,0.4648,0.4456,0
calibration_case_1756,Multi-step modeling,0.7165,0.6032,1
calibration_case_1757,Conceptual explanation,0.6364,0.5721,1
calibration_case_1758,Procedural fluency,0.7365,0.6821,0
calibration_case_1759,Conceptual explanation,0.5361,0.4853,0
calibration_case_1760,Procedural fluency,0.4458,0.4297,0
calibration_case_1761,Multi-step modeling,0.0473,0.0531,0
calibration_case_1762,Multi-step modeling,0.6318,0.5234,1
calibration_case_1763,Procedural fluency,0.5853,0.5473,1
calibration_case_1764,Multi-step modeling,0.4129,0.3417,0
calibration_case_1765,Procedural fluency,0.5318,0.5018,0
calibration_case_1766,Conceptual explanation,0.8222,0.7514,1
calibration_case_1767,Conceptual explanation,0.6095,0.5484,1
calibration_case_1768,Multi-step modeling,0.8049,0.6965,1
calibration_case_1769,Conceptual explanation,0.981,0.9583,1
calibration_case_1770,Procedural fluency,0.6006,0.5604,1
calibration_case_1771,Conceptual explanation,0.4125,0.3829,1
calibration_case_1772,Procedural fluency,0.5164,0.4888,0
calibration_case_1773,Procedural fluency,0.6884,0.6378,0
calibration_case_1774,Procedural fluency,0.5699,0.534,1
calibration_case_1775,Multi-step modeling,0.1553,0.144,0
calibration_case_1776,Multi-step modeling,0.3111,0.2635,1
calibration_case_1777,Multi-step modeling,0.4443,0.3664,1
calibration_case_1778,Procedural fluency,0.3531,0.3524,0
calibration_case_1779,Conceptual explanation,0.0868,0.1037,0
calibration_case_1780,Conceptual explanation,0.1107,0.1267,1
calibration_case_1781,Conceptual explanation,0.5787,0.5217,1
calibration_case_1782,Multi-step modeling,0.356,0.2978,0
calibration_case_1783,Procedural fluency,0.5269,0.4976,1
calibration_case_1784,Multi-step modeling,0.5747,0.4733,0
calibration_case_1785,Conceptual explanation,0.6126,0.5511,0
calibration_case_1786,Conceptual explanation,0.479,0.4377,0
calibration_case_1787,Conceptual explanation,0.0787,0.0957,0
calibration_case_1788,Multi-step modeling,0.0807,0.0829,0
calibration_case_1789,Procedural fluency,0.6508,0.6042,1
calibration_case_1790,Procedural fluency,0.7777,0.7215,0
calibration_case_1791,Multi-step modeling,0.546,0.449,0
calibration_case_1792,Procedural fluency,0.5007,0.4756,0
calibration_case_1793,Procedural fluency,0.536,0.5053,1
calibration_case_1794,Conceptual explanation,0.2684,0.2646,0
calibration_case_1795,Multi-step modeling,0.0743,0.0774,0
calibration_case_1796,Procedural fluency,0.7202,0.6669,1
calibration_case_1797,Procedural fluency,0.5707,0.5347,0
calibration_case_1798,Procedural fluency,0.2962,0.3042,0
calibration_case_1799,Multi-step modeling,0.4338,0.3581,0
calibration_case_1800,Multi-step modeling,0.8224,0.7165,1
calibration_case_1801,Conceptual explanation,0.5784,0.5214,1
calibration_case_1802,Procedural fluency,0.2326,0.2492,0
calibration_case_1803,Conceptual explanation,0.5293,0.4796,1
calibration_case_1804,Procedural fluency,0.7295,0.6756,0
calibration_case_1805,Conceptual explanation,0.8947,0.8344,1
calibration_case_1806,Multi-step modeling,0.2769,0.2376,1
calibration_case_1807,Multi-step modeling,0.6026,0.4974,1
calibration_case_1808,Procedural fluency,0.4344,0.4203,1
calibration_case_1809,Conceptual explanation,0.9487,0.9064,1
calibration_case_1810,Multi-step modeling,0.3315,0.279,0
calibration_case_1811,Conceptual explanation,0.7048,0.6343,0
calibration_case_1812,Multi-step modeling,0.6248,0.5171,0
calibration_case_1813,Procedural fluency,0.9512,0.9164,1
calibration_case_1814,Conceptual explanation,0.2336,0.2354,0
calibration_case_1815,Procedural fluency,0.392,0.3849,1
calibration_case_1816,Procedural fluency,0.2132,0.2321,0
calibration_case_1817,Procedural fluency,0.6109,0.5693,0
calibration_case_1818,Procedural fluency,0.4219,0.4098,0
calibration_case_1819,Multi-step modeling,0.8087,0.7008,1
calibration_case_1820,Conceptual explanation,0.4079,0.3792,1
calibration_case_1821,Conceptual explanation,0.5033,0.4578,1
calibration_case_1822,Conceptual explanation,0.0998,0.1163,0
calibration_case_1823,Multi-step modeling,0.4077,0.3377,0
calibration_case_1824,Multi-step modeling,0.4689,0.3859,1
calibration_case_1825,Conceptual explanation,0.0697,0.0866,0
calibration_case_1826,Multi-step modeling,0.4789,0.3939,0
calibration_case_1827,Conceptual explanation,0.8724,0.8077,0
calibration_case_1828,Procedural fluency,0.8841,0.833,1
calibration_case_1829,Procedural fluency,0.8343,0.7787,1
calibration_case_1830,Conceptual explanation,0.2909,0.2832,0
calibration_case_1831,Conceptual explanation,0.5125,0.4655,1
calibration_case_1832,Conceptual explanation,0.7832,0.7107,1
calibration_case_1833,Conceptual explanation,0.8485,0.7802,1
calibration_case_1834,Conceptual explanation,0.6719,0.604,1
calibration_case_1835,Conceptual explanation,0.6004,0.5404,1
calibration_case_1836,Procedural fluency,0.56,0.5256,0
calibration_case_1837,Conceptual explanation,0.5,0.4551,0
calibration_case_1838,Procedural fluency,0.7765,0.7203,1
calibration_case_1839,Conceptual explanation,0.3227,0.3094,1
calibration_case_1840,Conceptual explanation,0.3693,0.3476,1
calibration_case_1841,Procedural fluency,0.2163,0.2348,1
calibration_case_1842,Multi-step modeling,0.3063,0.2599,0
calibration_case_1843,Procedural fluency,0.2758,0.2869,0
calibration_case_1844,Multi-step modeling,0.5528,0.4546,0
calibration_case_1845,Multi-step modeling,0.7372,0.6239,0
calibration_case_1846,Procedural fluency,0.7851,0.7287,1
calibration_case_1847,Multi-step modeling,0.4022,0.3334,1
calibration_case_1848,Multi-step modeling,0.7358,0.6226,0
calibration_case_1849,Conceptual explanation,0.5671,0.5117,1
calibration_case_1850,Multi-step modeling,0.5891,0.4856,1
calibration_case_1851,Multi-step modeling,0.4437,0.3659,0
calibration_case_1852,Procedural fluency,0.6016,0.5612,0
calibration_case_1853,Conceptual explanation,0.7385,0.6664,0
calibration_case_1854,Conceptual explanation,0.3012,0.2918,0
calibration_case_1855,Procedural fluency,0.6268,0.5831,1
calibration_case_1856,Conceptual explanation,0.7596,0.687,1
calibration_case_1857,Conceptual explanation,0.5974,0.5378,0
calibration_case_1858,Procedural fluency,0.6289,0.5849,0
calibration_case_1859,Procedural fluency,0.8173,0.7611,0
calibration_case_1860,Multi-step modeling,0.3217,0.2716,0
calibration_case_1861,Conceptual explanation,0.5172,0.4695,0
calibration_case_1862,Multi-step modeling,0.5823,0.4798,0
calibration_case_1863,Procedural fluency,0.425,0.4124,1
calibration_case_1864,Procedural fluency,0.358,0.3565,0
calibration_case_1865,Conceptual explanation,0.6409,0.576,1
calibration_case_1866,Conceptual explanation,0.2362,0.2376,0
calibration_case_1867,Conceptual explanation,0.2573,0.2554,0
calibration_case_1868,Multi-step modeling,0.449,0.3701,0
calibration_case_1869,Multi-step modeling,0.8871,0.7976,1
calibration_case_1870,Procedural fluency,0.9835,0.9656,1
calibration_case_1871,Multi-step modeling,0.1938,0.174,0
calibration_case_1872,Conceptual explanation,0.3412,0.3246,0
calibration_case_1873,Procedural fluency,0.4538,0.4364,1
calibration_case_1874,Conceptual explanation,0.3981,0.3711,0
calibration_case_1875,Multi-step modeling,0.6327,0.5242,1
calibration_case_1876,Procedural fluency,0.4806,0.4588,0
calibration_case_1877,Multi-step modeling,0.581,0.4787,1
calibration_case_1878,Multi-step modeling,0.1648,0.1515,0
calibration_case_1879,Conceptual explanation,0.6889,0.6195,0
calibration_case_1880,Conceptual explanation,0.3917,0.3659,0
calibration_case_1881,Procedural fluency,0.7607,0.7051,1
calibration_case_1882,Procedural fluency,0.5922,0.5531,1
calibration_case_1883,Conceptual explanation,0.9345,0.8862,0
calibration_case_1884,Procedural fluency,0.7734,0.7173,0
calibration_case_1885,Procedural fluency,0.4916,0.468,1
calibration_case_1886,Conceptual explanation,0.8829,0.82,0
calibration_case_1887,Procedural fluency,0.18,0.202,0
calibration_case_1888,Procedural fluency,0.8571,0.803,1
calibration_case_1889,Multi-step modeling,0.13,0.1238,0
calibration_case_1890,Multi-step modeling,0.7585,0.646,1
calibration_case_1891,Conceptual explanation,0.8322,0.7623,0
calibration_case_1892,Conceptual explanation,0.4885,0.4456,1
calibration_case_1893,Procedural fluency,0.4904,0.4669,0
calibration_case_1894,Conceptual explanation,0.3669,0.3457,1
calibration_case_1895,Procedural fluency,0.5628,0.528,1
calibration_case_1896,Procedural fluency,0.5915,0.5526,0
calibration_case_1897,Procedural fluency,0.8479,0.793,1
calibration_case_1898,Conceptual explanation,0.6576,0.591,0
calibration_case_1899,Multi-step modeling,0.6245,0.5168,0
calibration_case_1900,Conceptual explanation,0.4214,0.3902,0
calibration_case_1901,Conceptual explanation,0.7264,0.6548,1
calibration_case_1902,Conceptual explanation,0.8191,0.7481,1
calibration_case_1903,Conceptual explanation,0.8032,0.7314,1
calibration_case_1904,Procedural fluency,0.7366,0.6822,0
calibration_case_1905,Conceptual explanation,0.91,0.8537,1
calibration_case_1906,Procedural fluency,0.953,0.9189,1
calibration_case_1907,Multi-step modeling,0.5307,0.4361,0
calibration_case_1908,Conceptual explanation,0.7299,0.6581,1
calibration_case_1909,Procedural fluency,0.2819,0.2921,0
calibration_case_1910,Procedural fluency,0.5207,0.4924,0
calibration_case_1911,Procedural fluency,0.21560000000000001,0.2342,0
calibration_case_1912,Multi-step modeling,0.9231,0.8491,1
calibration_case_1913,Conceptual explanation,0.2524,0.2513,0
calibration_case_1914,Multi-step modeling,0.199,0.178,0
calibration_case_1915,Procedural fluency,0.6368,0.5918,1
calibration_case_1916,Procedural fluency,0.6048,0.564,1
calibration_case_1917,Procedural fluency,0.9204,0.8761,1
calibration_case_1918,Procedural fluency,0.6431,0.5974,0
calibration_case_1919,Conceptual explanation,0.8406,0.7714,0
calibration_case_1920,Procedural fluency,0.1583,0.1819,0
calibration_case_1921,Conceptual explanation,0.2939,0.2857,0
calibration_case_1922,Procedural fluency,0.8068,0.7504,1
calibration_case_1923,Multi-step modeling,0.2233,0.1967,0
calibration_case_1924,Conceptual explanation,0.383,0.3588,1
calibration_case_1925,Conceptual explanation,0.7144,0.6434,1
calibration_case_1926,Procedural fluency,0.6824,0.6323,1
calibration_case_1927,Conceptual explanation,0.2694,0.2654,0
calibration_case_1928,Multi-step modeling,0.3724,0.3103,0
calibration_case_1929,Procedural fluency,0.4443,0.4285,0
calibration_case_1930,Multi-step modeling,0.702,0.5889,1
calibration_case_1931,Procedural fluency,0.8154,0.7591,1
calibration_case_1932,Conceptual explanation,0.1022,0.1186,0
calibration_case_1933,Procedural fluency,0.4332,0.4193,1
calibration_case_1934,Conceptual explanation,0.8818,0.8188,1
calibration_case_1935,Conceptual explanation,0.1301,0.1448,0
calibration_case_1936,Multi-step modeling,0.7904,0.6803,0
calibration_case_1937,Procedural fluency,0.3357,0.3377,0
calibration_case_1938,Multi-step modeling,0.2588,0.2238,0
calibration_case_1939,Procedural fluency,0.8764,0.8243,1
calibration_case_1940,Procedural fluency,0.661,0.6132,1
calibration_case_1941,Conceptual explanation,0.8953,0.8351,1
calibration_case_1942,Multi-step modeling,0.3254,0.2744,0
calibration_case_1943,Multi-step modeling,0.2198,0.194,0
calibration_case_1944,Conceptual explanation,0.5159,0.4684,1
calibration_case_1945,Multi-step modeling,0.4877,0.401,1
calibration_case_1946,Conceptual explanation,0.5452,0.493,0
calibration_case_1947,Multi-step modeling,0.5256,0.4319,0
calibration_case_1948,Conceptual explanation,0.4663,0.4272,0
calibration_case_1949,Multi-step modeling,0.2929,0.2497,0
calibration_case_1950,Procedural fluency,0.8119,0.7556,1
calibration_case_1951,Multi-step modeling,0.0965,0.0963,0
calibration_case_1952,Multi-step modeling,0.0598,0.0645,0
calibration_case_1953,Conceptual explanation,0.3834,0.3591,1
calibration_case_1954,Multi-step modeling,0.1166,0.1129,0
calibration_case_1955,Conceptual explanation,0.6486,0.5829,1
calibration_case_1956,Conceptual explanation,0.7597,0.6871,0
calibration_case_1957,Conceptual explanation,0.293,0.285,0
calibration_case_1958,Procedural fluency,0.8055,0.7491,0
calibration_case_1959,Procedural fluency,0.198,0.2184,0
calibration_case_1960,Procedural fluency,0.617,0.5746,1
calibration_case_1961,Procedural fluency,0.6064,0.5653,0
calibration_case_1962,Procedural fluency,0.7275,0.6737,1
calibration_case_1963,Procedural fluency,0.7037,0.6517,1
calibration_case_1964,Procedural fluency,0.9128,0.8667,1
calibration_case_1965,Procedural fluency,0.5455,0.5133,0
calibration_case_1966,Procedural fluency,0.3569,0.3556,0
calibration_case_1967,Conceptual explanation,0.4919,0.4484,0
calibration_case_1968,Procedural fluency,0.247,0.2619,0
calibration_case_1969,Conceptual explanation,0.8198,0.7489,1
calibration_case_1970,Conceptual explanation,0.639,0.5744,1
calibration_case_1971,Multi-step modeling,0.5481,0.4507,0
calibration_case_1972,Procedural fluency,0.61,0.5685,1
calibration_case_1973,Conceptual explanation,0.5472,0.4947,1
calibration_case_1974,Multi-step modeling,0.6828,0.5705,1
calibration_case_1975,Procedural fluency,0.8019,0.7455,0
calibration_case_1976,Multi-step modeling,0.8451,0.7436,1
calibration_case_1977,Procedural fluency,0.7905,0.7341,1
calibration_case_1978,Procedural fluency,0.7431,0.6883,1
calibration_case_1979,Procedural fluency,0.4926,0.4688,0
calibration_case_1980,Procedural fluency,0.5239,0.4951,1
calibration_case_1981,Procedural fluency,0.8324,0.7766,1
calibration_case_1982,Procedural fluency,0.8976,0.8486,1
calibration_case_1983,Conceptual explanation,0.5883,0.5299,0
calibration_case_1984,Conceptual explanation,0.7474,0.6751,0
calibration_case_1985,Procedural fluency,0.1831,0.2049,0
calibration_case_1986,Multi-step modeling,0.0374,0.0436,0
calibration_case_1987,Procedural fluency,0.6887,0.6381,1
calibration_case_1988,Multi-step modeling,0.2499,0.217,0
calibration_case_1989,Procedural fluency,0.9068,0.8595,1
calibration_case_1990,Multi-step modeling,0.386,0.3208,0
calibration_case_1991,Procedural fluency,0.7067,0.6544,1
calibration_case_1992,Procedural fluency,0.7786,0.7224,1
calibration_case_1993,Multi-step modeling,0.16,0.1477,0
calibration_case_1994,Procedural fluency,0.4604,0.4419,0
calibration_case_1995,Procedural fluency,0.659,0.6115,0
calibration_case_1996,Multi-step modeling,0.3578,0.2992,0
calibration_case_1997,Conceptual explanation,0.6718,0.6039,0
calibration_case_1998,Multi-step modeling,0.7243,0.6109,0
calibration_case_1999,Multi-step modeling,0.4255,0.3516,0
calibration_case_2000,Procedural fluency,0.775,0.7189,1
calibration_case_2001,Conceptual explanation,0.4028,0.375,1
calibration_case_2002,Conceptual explanation,0.4131,0.3834,1
calibration_case_2003,Procedural fluency,0.77,0.714,0
calibration_case_2004,Procedural fluency,0.6529,0.6061,1
calibration_case_2005,Procedural fluency,0.7973,0.7408,1
calibration_case_2006,Conceptual explanation,0.1854,0.1941,0
calibration_case_2007,Multi-step modeling,0.7172,0.6039,1
calibration_case_2008,Multi-step modeling,0.2055,0.1831,0
calibration_case_2009,Procedural fluency,0.4489,0.4323,1
calibration_case_2010,Conceptual explanation,0.2506,0.2497,0
calibration_case_2011,Conceptual explanation,0.7027,0.6324,1
calibration_case_2012,Multi-step modeling,0.3667,0.306,0
calibration_case_2013,Conceptual explanation,0.9377,0.8907,0
calibration_case_2014,Procedural fluency,0.5986,0.5586,0
calibration_case_2015,Procedural fluency,0.8299,0.774,1
calibration_case_2016,Procedural fluency,0.5198,0.4916,1
calibration_case_2017,Multi-step modeling,0.7163,0.603,0
calibration_case_2018,Procedural fluency,0.8969,0.8477,1
calibration_case_2019,Procedural fluency,0.4594,0.4411,1
calibration_case_2020,Procedural fluency,0.6344,0.5898,0
calibration_case_2021,Multi-step modeling,0.5085,0.4179,1
calibration_case_2022,Multi-step modeling,0.27,0.2323,0
calibration_case_2023,Multi-step modeling,0.0818,0.0838,1
calibration_case_2024,Procedural fluency,0.7599,0.7043,0
calibration_case_2025,Conceptual explanation,0.0972,0.1138,0
calibration_case_2026,Multi-step modeling,0.3389,0.2847,0
calibration_case_2027,Multi-step modeling,0.4344,0.3586,1
calibration_case_2028,Procedural fluency,0.4486,0.4321,1
calibration_case_2029,Multi-step modeling,0.3494,0.2927,0
calibration_case_2030,Conceptual explanation,0.1224,0.1377,0
calibration_case_2031,Conceptual explanation,0.5232,0.4745,0
calibration_case_2032,Conceptual explanation,0.646,0.5806,0
calibration_case_2033,Procedural fluency,0.8855,0.8346,1
calibration_case_2034,Procedural fluency,0.7814,0.7252,0
calibration_case_2035,Multi-step modeling,0.5099,0.419,1
calibration_case_2036,Conceptual explanation,0.2387,0.2397,0
calibration_case_2037,Procedural fluency,0.8524,0.7978,1
calibration_case_2038,Procedural fluency,0.3809,0.3756,0
calibration_case_2039,Procedural fluency,0.6601,0.61240000000000006,1
calibration_case_2040,Procedural fluency,0.607,0.5659,1
calibration_case_2041,Procedural fluency,0.7492,0.6941,1
calibration_case_2042,Procedural fluency,0.5342,0.5038,1
calibration_case_2043,Procedural fluency,0.3808,0.3756,0
calibration_case_2044,Procedural fluency,0.4417,0.4263,1
calibration_case_2045,Procedural fluency,0.3621,0.3599,0
calibration_case_2046,Procedural fluency,0.6963,0.645,1
calibration_case_2047,Multi-step modeling,0.6502,0.5401,1
calibration_case_2048,Conceptual explanation,0.4543,0.4173,1
calibration_case_2049,Procedural fluency,0.7992,0.7427,1
calibration_case_2050,Procedural fluency,0.9532,0.9192,1
calibration_case_2051,Multi-step modeling,0.6475,0.5376,0
calibration_case_2052,Multi-step modeling,0.1057,0.104,0
calibration_case_2053,Procedural fluency,0.5746,0.538,1
calibration_case_2054,Multi-step modeling,0.205,0.1826,0
calibration_case_2055,Multi-step modeling,0.2883,0.2462,1
calibration_case_2056,Multi-step modeling,0.402,0.3333,0
calibration_case_2057,Procedural fluency,0.6263,0.5827,1
calibration_case_2058,Conceptual explanation,0.6709,0.6031,1
calibration_case_2059,Procedural fluency,0.8138,0.7575,1
calibration_case_2060,Conceptual explanation,0.2859,0.2791,1
calibration_case_2061,Procedural fluency,0.5349,0.5044,0
calibration_case_2062,Procedural fluency,0.771,0.715,1
calibration_case_2063,Procedural fluency,0.6185,0.5759,0
calibration_case_2064,Multi-step modeling,0.4443,0.3664,1
calibration_case_2065,Procedural fluency,0.7552,0.6998,1
calibration_case_2066,Multi-step modeling,0.1624,0.1495,0
calibration_case_2067,Procedural fluency,0.3847,0.3789,0
calibration_case_2068,Procedural fluency,0.6788,0.6291,0
calibration_case_2069,Multi-step modeling,0.6599,0.5491,1
calibration_case_2070,Procedural fluency,0.5456,0.5134,0
calibration_case_2071,Multi-step modeling,0.0548,0.06,0
calibration_case_2072,Conceptual explanation,0.2122,0.2172,0
calibration_case_2073,Conceptual explanation,0.597,0.5374,0
calibration_case_2074,Procedural fluency,0.618,0.5754,0
calibration_case_2075,Procedural fluency,0.8315,0.7758,1
calibration_case_2076,Multi-step modeling,0.4398,0.3628,0
